out_public_key,in_public_key,datetime,trust
5983,546,2015-12-22T06:57:57.446130,2
2125,5227,2015-12-22T00:32:03.614800,2
546,5983,2015-12-21T16:20:39.529290,2
3714,481,2015-12-18T00:05:41.918350,10
5832,3345,2015-12-17T11:41:16.569100,-5
3919,1810,2015-12-16T10:58:53.541790,1
96,2045,2015-12-16T10:54:32.164050,3
6000,6002,2015-12-16T10:12:59.413880,1
1018,5569,2015-12-16T10:11:09.351640,4
1565,1018,2015-12-16T10:11:07.592170,3
33,2045,2015-12-15T18:30:55.284970,9
2045,33,2015-12-15T18:28:51.339260,9
5510,1352,2015-12-10T13:06:07.696190,-10
546,5227,2015-12-10T12:10:45.405210,1
5227,546,2015-12-10T12:10:27.551580,1
1810,5227,2015-12-10T11:41:36.917420,3
1352,245,2015-12-10T09:02:06.476130,-10
5999,3878,2015-12-09T03:55:00.783540,8
3878,5999,2015-12-09T03:50:37.715820,1
13,2252,2015-12-07T22:02:52.383580,3
2252,13,2015-12-05T06:22:30.897480,3
546,3714,2015-12-04T23:45:26.831230,3
3714,546,2015-12-04T23:44:34.632440,2
215,1018,2015-12-04T15:04:52.836270,3
2063,215,2015-12-03T14:29:02.939130,2
215,2063,2015-12-03T11:09:08.383950,2
1018,215,2015-12-02T16:56:21.000700,3
2125,5569,2015-12-01T11:54:24.659710,1
5983,3451,2015-11-30T02:43:56.393850,3
3451,5983,2015-11-30T02:37:45.531820,3
5227,4499,2015-11-26T12:20:41.157380,1
4499,5227,2015-11-26T12:20:27.262560,1
35,5993,2015-11-25T01:59:22.876520,-10
2125,1832,2015-11-24T14:19:36.896680,2
35,3992,2015-11-20T06:31:48.609570,2
4499,2045,2015-11-19T21:41:24.838410,2
2045,4499,2015-11-19T21:41:20.778850,2
35,5998,2015-11-14T08:06:50.606310,1
35,5997,2015-11-14T08:06:09.705770,1
35,5992,2015-11-14T08:05:25.839570,1
3828,3714,2015-11-12T19:48:53.846870,2
3714,3828,2015-11-12T15:53:38.327570,2
1810,1832,2015-11-10T19:14:01.992190,2
5996,5949,2015-11-08T13:38:38.505260,3
5949,4205,2015-11-08T10:37:57.975410,3
5949,5996,2015-11-08T10:30:41.206390,3
33,3804,2015-11-04T21:03:40.422290,2
3804,33,2015-11-04T21:02:06.896520,2
3603,4291,2015-11-04T09:43:01.206530,1
4291,2388,2015-11-04T00:48:48.258720,3
4291,3603,2015-11-04T00:48:28.057970,1
2388,4291,2015-11-04T00:40:05.549920,5
4205,5949,2015-11-03T21:36:33.865610,3
5075,3260,2015-11-03T17:01:46.967720,1
5075,4957,2015-11-03T15:11:28.088710,1
3714,5921,2015-11-01T17:34:06.765610,1
5921,3714,2015-11-01T17:33:46.290170,1
2067,3714,2015-11-01T13:16:34.139150,3
3714,2067,2015-11-01T13:16:03.589720,3
4291,4499,2015-10-31T13:57:02.538880,2
4499,4291,2015-10-31T13:56:44.343750,2
5983,3598,2015-10-30T16:54:23.587120,7
3598,5983,2015-10-30T16:48:19.658410,7
5995,35,2015-10-29T10:40:04.317790,1
35,5995,2015-10-27T13:42:45.787830,1
2067,35,2015-10-27T08:46:43.893120,1
35,2067,2015-10-27T08:43:36.866930,1
5449,546,2015-10-25T13:32:43.890730,1
546,5449,2015-10-24T20:40:05.638860,2
5994,5458,2015-10-23T09:50:47.200080,1
5994,4205,2015-10-23T09:21:58.952860,1
4205,5994,2015-10-23T09:17:17.897280,1
4304,2067,2015-10-21T10:27:12.137060,1
2067,4304,2015-10-21T10:22:10.455860,1
5457,3919,2015-10-20T19:33:31.472170,3
3919,5457,2015-10-20T19:33:04.034210,2
5993,35,2015-10-20T15:07:32.913500,1
5688,5506,2015-10-19T11:49:58.976650,1
2063,4532,2015-10-19T09:54:04.024820,2
104,4499,2015-10-15T21:35:00.233080,1
4499,104,2015-10-15T21:33:49.857390,1
5449,4649,2015-10-13T18:26:14.220810,5
3804,5983,2015-10-07T00:57:20.152430,3
5983,2388,2015-10-07T00:12:56.757970,2
5983,3804,2015-10-07T00:09:59.452560,3
2388,5983,2015-10-06T01:35:18.372260,2
3598,33,2015-10-06T01:32:39.384150,1
33,3598,2015-10-06T01:32:04.012140,1
3804,2067,2015-10-03T00:39:29.763220,5
2067,3804,2015-10-03T00:35:28.471270,5
5991,33,2015-10-01T23:41:34.113190,2
33,5991,2015-10-01T23:38:12.394960,2
33,215,2015-10-01T21:08:23.031160,1
215,33,2015-10-01T20:50:06.930740,1
5983,35,2015-10-01T03:20:22.456030,3
3804,35,2015-10-01T01:45:11.850800,1
35,3804,2015-10-01T01:45:02.141770,1
3714,3451,2015-09-29T23:49:57.471430,1
3451,3714,2015-09-29T23:48:16.142220,1
4852,2252,2015-09-26T18:04:59.490330,1
3804,5449,2015-09-23T00:45:19.333310,5
5449,3804,2015-09-23T00:44:38.514090,5
1052,5990,2015-09-22T04:31:46.557370,5
2252,4852,2015-09-21T12:14:00.203890,1
41,4291,2015-09-20T18:05:07.310180,2
3719,1272,2015-09-16T11:43:58.788640,-10
2125,1272,2015-09-16T11:42:15.800320,-1
4532,5921,2015-09-14T14:55:41.410340,2
5921,4532,2015-09-14T14:54:05.564420,3
2067,5956,2015-09-13T08:55:07.775860,1
5956,2067,2015-09-13T08:54:58.901110,3
5227,5956,2015-09-12T18:46:40.360820,3
2303,5449,2015-09-12T10:21:36.128930,2
3451,5956,2015-09-11T19:48:20.416390,1
5956,3451,2015-09-11T19:43:03.093310,4
5956,5227,2015-09-11T19:38:57.788220,8
2125,5712,2015-09-11T12:06:35.765120,1
4291,5712,2015-09-11T11:01:33.629320,5
1639,33,2015-09-09T16:31:52.490510,2
33,1639,2015-09-09T16:17:22.642010,1
1810,33,2015-09-09T12:45:30.659590,2
33,1810,2015-09-09T12:37:33.505530,1
1810,2552,2015-09-08T12:08:55.468770,1
2552,1810,2015-09-08T12:07:29.671870,1
3427,5982,2015-09-07T19:44:57.022180,2
5982,3427,2015-09-07T19:44:04.584770,2
3451,4004,2015-09-07T18:04:06.086360,1
4004,5845,2015-09-07T18:02:47.963330,10
4291,1810,2015-09-07T14:00:07.824080,5
5989,3598,2015-09-07T01:26:49.263500,7
3598,5989,2015-09-07T01:25:09.901400,1
5965,3804,2015-09-07T00:06:03.574770,1
2388,5965,2015-09-06T23:58:58.637660,2
5965,2388,2015-09-06T23:57:15.160940,2
5988,4291,2015-09-06T09:15:21.350390,1
4291,5988,2015-09-06T08:47:59.124810,1
51,5712,2015-09-05T11:55:28.599930,1
2388,3598,2015-09-04T14:49:56.411180,-1
546,4197,2015-09-04T11:02:21.896560,3
4532,3598,2015-09-03T18:59:06.664240,2
5569,1316,2015-09-02T15:43:30.920210,1
3919,2388,2015-09-01T19:47:48.000260,1
3804,2388,2015-09-01T19:44:02.182210,10
2388,3451,2015-09-01T19:33:06.205160,-10
3451,2388,2015-09-01T19:31:27.164050,-10
3598,2388,2015-09-01T19:26:54.616520,1
3598,1810,2015-09-01T19:25:43.048740,1
546,5987,2015-09-01T18:56:02.448590,1
4532,3804,2015-09-01T18:09:24.475090,2
3804,4532,2015-09-01T18:07:53.280100,2
5965,5983,2015-09-01T05:56:55.364090,1
5983,5965,2015-09-01T05:53:48.846060,1
5449,3345,2015-08-31T22:22:51.060040,3
2067,4532,2015-08-31T15:42:39.956890,1
4532,2067,2015-08-31T15:42:08.060110,1
3429,5449,2015-08-30T23:44:59.833780,2
5449,3429,2015-08-30T21:42:41.316920,2
1731,4532,2015-08-30T00:10:26.634400,2
5892,35,2015-08-29T14:00:49.252780,2
3598,5982,2015-08-28T23:21:59.741860,2
4532,1731,2015-08-28T15:04:52.028520,2
4532,3451,2015-08-28T14:20:38.449930,2
3451,4532,2015-08-28T14:19:42.566910,2
4532,5986,2015-08-28T13:15:45.355200,1
5985,3451,2015-08-25T20:09:09.103730,1
5985,5845,2015-08-25T20:06:48.068620,1
3451,5985,2015-08-25T20:01:13.066990,1
1018,4172,2015-08-25T09:54:29.460040,7
3479,35,2015-08-25T07:27:43.112960,3
35,3479,2015-08-25T06:46:09.228970,3
5982,546,2015-08-25T00:21:34.861360,2
546,5982,2015-08-25T00:18:41.623680,1
5227,3598,2015-08-21T10:03:31.501360,1
3598,5227,2015-08-21T10:03:30.728490,1
2063,4197,2015-08-20T14:24:51.877610,7
3429,4649,2015-08-19T22:47:39.814080,7
4649,3429,2015-08-19T22:46:20.277460,7
96,1719,2015-08-19T09:00:45.266330,-10
96,6,2015-08-19T09:00:06.118650,-10
96,1363,2015-08-19T08:59:58.960890,-10
5984,13,2015-08-19T03:22:27.491030,2
13,5984,2015-08-19T03:21:24.794490,2
13,4532,2015-08-18T22:34:28.363830,3
4291,4532,2015-08-18T22:16:15.037790,1
4532,4291,2015-08-18T22:15:27.879350,1
4197,2067,2015-08-18T13:13:51.212050,1
2067,4197,2015-08-18T12:44:23.839020,1
5227,2252,2015-08-17T18:28:41.452800,1
2252,5227,2015-08-17T18:20:45.678160,1
905,5649,2015-08-17T17:08:34.778940,-10
3992,2045,2015-08-17T15:07:24.193940,2
5510,1396,2015-08-17T14:33:48.447120,3
4197,1810,2015-08-17T13:30:39.079500,1
35,5983,2015-08-17T05:57:27.296310,1
1810,4197,2015-08-16T22:55:50.856240,3
3427,35,2015-08-16T11:05:53.677620,6
5432,5476,2015-08-15T19:06:58.301500,-1
3992,3598,2015-08-14T11:13:31.416960,2
3598,3992,2015-08-14T11:12:33.311480,1
3598,4172,2015-08-14T06:29:54.076610,3
361,2045,2015-08-13T14:31:26.403100,1
2045,3598,2015-08-13T12:54:33.903700,2
3598,2045,2015-08-13T12:53:57.088120,1
4291,3598,2015-08-12T23:38:38.592840,2
3598,4291,2015-08-12T23:32:12.627680,2
33,35,2015-08-11T04:48:12.874470,4
5982,33,2015-08-11T03:50:55.446780,1
33,5982,2015-08-11T03:44:56.516340,1
3598,5028,2015-08-11T02:56:46.031320,3
5982,3598,2015-08-11T00:29:10.106660,1
905,5028,2015-08-10T05:17:20.241670,3
5028,3598,2015-08-10T04:37:44.213540,2
2045,2067,2015-08-09T18:44:26.334920,6
545,1693,2015-08-09T15:50:42.055210,-1
135,5965,2015-08-08T23:41:39.710500,1
5028,361,2015-08-07T20:59:17.756350,2
361,5028,2015-08-07T20:57:58.499270,1
4266,5978,2015-08-05T02:13:22.007000,1
5965,135,2015-08-04T01:18:32.393290,1
5974,41,2015-08-03T20:21:30.474460,1
35,5981,2015-08-03T18:11:54.885060,1
35,5980,2015-08-03T16:54:49.989000,1
35,5979,2015-08-03T16:54:33.227720,1
1565,1316,2015-08-03T12:23:23.761000,7
1565,57,2015-08-03T12:23:03.953270,8
1565,4172,2015-08-03T11:57:42.432500,5
4957,5978,2015-08-03T06:55:56.483950,1
4532,5977,2015-08-03T02:18:44.994440,-10
4532,5976,2015-08-03T02:12:46.695500,-10
4532,5975,2015-08-03T02:11:51.502050,-10
905,361,2015-08-02T23:49:29.725900,2
3583,51,2015-08-02T10:26:31.188690,1
51,3583,2015-08-02T10:26:15.638190,1
41,5974,2015-07-31T18:48:26.490640,2
2045,13,2015-07-31T12:36:25.408620,2
13,2045,2015-07-31T12:35:42.541270,2
5811,1735,2015-07-31T05:33:38.699130,2
3714,1832,2015-07-30T22:20:51.016390,5
2063,2942,2015-07-29T13:26:35.845480,2
3893,3598,2015-07-29T04:28:44.826690,1
3598,3893,2015-07-29T03:48:24.233030,1
1893,2045,2015-07-28T10:47:54.558610,1
2045,1893,2015-07-28T10:46:18.335710,1
2073,1352,2015-07-26T16:48:42.226820,1
13,5973,2015-07-26T01:07:23.677850,-10
2125,5921,2015-07-25T23:21:06.657060,1
5972,13,2015-07-25T01:50:14.666050,1
13,5972,2015-07-25T01:25:56.732580,1
4291,5971,2015-07-23T23:26:47.254180,1
5971,5691,2015-07-23T23:25:54.186610,1
5971,4291,2015-07-23T23:25:15.743480,1
5971,5960,2015-07-23T23:16:32.218890,10
2073,5971,2015-07-23T22:56:03.744120,10
13,5917,2015-07-23T03:30:50.165250,1
5917,13,2015-07-23T03:24:33.728220,1
4304,2045,2015-07-21T10:00:56.969030,5
3598,1596,2015-07-21T01:47:57.966830,1
1596,3598,2015-07-21T01:45:50.493380,1
1639,2045,2015-07-20T15:02:48.799280,2
2045,1639,2015-07-20T15:00:36.120440,1
2252,51,2015-07-20T14:06:02.330250,1
2045,4304,2015-07-20T13:48:36.753310,5
4304,5227,2015-07-20T09:34:08.967340,1
51,2252,2015-07-20T07:58:21.946720,1
2388,5712,2015-07-19T19:46:24.685870,1
5449,5969,2015-07-19T18:40:17.184580,1
1735,5969,2015-07-19T18:30:01.563070,1
5928,5969,2015-07-18T16:45:53.365720,1
5969,5928,2015-07-18T16:45:44.340790,1
5969,546,2015-07-18T13:48:56.120810,2
5970,5969,2015-07-18T13:36:02.409670,1
5969,5970,2015-07-18T13:35:58.918850,1
2067,5969,2015-07-17T11:41:31.121390,1
546,5969,2015-07-16T17:55:40.846130,1
1548,4921,2015-07-16T13:50:41.156500,1
481,4291,2015-07-16T00:32:00.384870,1
4291,481,2015-07-16T00:31:57.647060,1
361,481,2015-07-15T14:59:18.890000,1
4921,1548,2015-07-15T11:49:24.298390,1
481,361,2015-07-15T00:19:30.947070,1
2045,3429,2015-07-14T15:03:33.551310,1
3429,2045,2015-07-14T15:03:06.028160,1
3878,3837,2015-07-14T02:44:03.121310,2
5965,1810,2015-07-13T23:54:53.554150,1
1810,5965,2015-07-13T23:45:11.350200,1
5917,2045,2015-07-13T16:26:38.846240,1
2045,5917,2015-07-13T16:13:54.761420,1
5449,5967,2015-07-12T22:25:22.269180,2
5965,5227,2015-07-11T04:39:11.079590,1
5227,5965,2015-07-11T04:06:56.219920,1
2063,1810,2015-07-10T17:53:56.999790,3
5949,5943,2015-07-10T15:26:19.748730,2
33,4172,2015-07-10T12:00:41.530630,5
2045,3992,2015-07-06T15:52:11.618910,1
2045,3451,2015-07-06T15:45:08.221570,3
5943,5949,2015-07-06T12:19:56.537080,3
905,2045,2015-07-01T16:58:56.057560,3
2045,5028,2015-07-01T16:46:15.856300,1
4649,4382,2015-06-30T08:55:20.765480,1
4382,4649,2015-06-29T23:21:15.521500,1
5667,3451,2015-06-29T18:03:19.495550,1
3451,5667,2015-06-29T18:02:08.575050,1
5968,2045,2015-06-28T14:36:06.689970,1
2045,5968,2015-06-28T14:32:38.215670,1
5967,5449,2015-06-26T14:55:16.332190,2
3451,4304,2015-06-26T12:34:45.708350,3
3451,3719,2015-06-26T12:34:27.407970,3
4304,3451,2015-06-26T12:33:55.519090,2
3719,3451,2015-06-26T12:25:28.868720,3
3451,3828,2015-06-26T10:06:27.191200,7
33,3451,2015-06-26T06:44:07.987780,1
3451,33,2015-06-26T06:42:52.147510,1
1810,2063,2015-06-25T12:32:35.504420,3
5928,2063,2015-06-24T17:00:52.681840,1
2063,3429,2015-06-24T16:54:00.007690,1
3429,2063,2015-06-24T16:45:08.329580,1
13,353,2015-06-24T01:53:56.666170,6
353,13,2015-06-24T01:50:30.794740,6
1565,33,2015-06-22T15:20:34.123850,2
33,1565,2015-06-22T15:19:52.000050,1
5449,2303,2015-06-21T16:00:24.796830,1
5525,5157,2015-06-20T23:09:20.889340,1
4304,4197,2015-06-19T15:26:53.372170,2
4197,4304,2015-06-19T15:26:13.819960,2
1018,3828,2015-06-19T13:11:50.060200,3
3828,3451,2015-06-19T12:57:40.955650,6
2067,3451,2015-06-19T12:38:35.674800,3
3451,2067,2015-06-19T12:38:30.607930,3
51,3451,2015-06-18T15:47:45.670260,2
3451,51,2015-06-18T15:47:45.411120,2
5936,51,2015-06-18T09:01:57.693380,6
51,5936,2015-06-18T08:59:26.974990,6
5966,5227,2015-06-17T09:39:40.371910,1
5227,5966,2015-06-17T09:35:15.635360,1
5457,3804,2015-06-17T01:57:02.304960,3
4197,4499,2015-06-14T21:03:41.010300,3
4499,4197,2015-06-14T21:02:56.376470,3
3451,2231,2015-06-13T17:26:22.260070,-2
3878,2231,2015-06-13T17:11:33.582230,1
5921,5591,2015-06-12T13:48:14.513050,1
5591,5921,2015-06-12T13:47:58.482670,1
4921,5591,2015-06-12T13:45:46.953840,1
5591,4921,2015-06-12T13:40:27.957270,1
5921,51,2015-06-12T11:26:26.524100,1
51,5921,2015-06-12T11:22:02.936090,1
4197,4921,2015-06-11T15:49:48.379150,2
4921,4197,2015-06-11T15:49:09.986830,2
5942,5650,2015-06-10T16:52:59.729980,-10
1764,5413,2015-06-10T16:25:29.221240,2
5413,1764,2015-06-10T16:24:20.355450,2
35,5964,2015-06-10T09:27:34.681540,1
35,5953,2015-06-10T09:27:21.373480,1
41,3828,2015-06-09T04:33:32.951090,2
2067,5449,2015-06-08T17:12:24.234040,2
3828,3429,2015-06-08T03:03:05.322580,4
3429,3828,2015-06-08T02:59:42.432250,4
5962,4205,2015-06-07T16:37:18.191070,2
5963,2045,2015-06-07T12:46:33.677570,10
2045,5963,2015-06-07T12:43:46.917450,1
4205,5962,2015-06-07T11:20:31.471130,1
2045,3063,2015-06-07T11:14:18.665760,1
3063,2045,2015-06-07T11:07:57.393690,1
4163,5611,2015-06-06T11:00:02.286080,-9
2067,5611,2015-06-06T10:57:40.186990,-3
1810,5611,2015-06-06T10:49:11.306470,-8
3903,1810,2015-06-05T05:11:23.060580,10
3828,41,2015-06-04T18:36:41.051430,1
5028,2045,2015-06-04T16:57:48.429720,1
4163,2067,2015-06-04T15:57:57.739710,10
2067,1316,2015-06-04T13:22:06.130340,2
2067,4163,2015-06-04T13:21:19.551430,1
1316,2067,2015-06-04T13:10:26.947640,2
5227,1850,2015-06-04T13:04:13.121950,1
1639,4163,2015-06-04T10:16:31.670900,3
2252,4163,2015-06-04T09:55:11.203860,-1
5611,2388,2015-06-04T05:34:10.742400,1
5227,5611,2015-06-04T05:33:11.809070,1
5611,5227,2015-06-04T05:32:05.775230,1
5611,3063,2015-06-04T00:57:20.509040,2
3063,5611,2015-06-04T00:45:55.666850,1
5449,2388,2015-06-03T21:36:50.991470,3
2388,5449,2015-06-03T21:36:50.474000,1
5611,2067,2015-06-02T21:42:35.466860,1
4291,33,2015-06-02T20:17:23.160110,3
33,4291,2015-06-02T20:16:56.217430,3
5961,3781,2015-06-02T19:10:32.832270,1
3781,5961,2015-06-02T19:10:08.779660,1
5028,1810,2015-06-02T11:33:16.293000,3
2552,4172,2015-05-29T11:22:41.682240,6
4172,2063,2015-05-28T17:27:29.861480,2
5146,361,2015-05-28T16:41:24.178640,1
361,5146,2015-05-28T16:40:56.464920,1
5943,5458,2015-05-28T14:09:35.437890,2
5958,5943,2015-05-28T14:07:25.189170,3
5943,5958,2015-05-28T14:06:37.331530,3
5943,5955,2015-05-28T14:02:04.007940,3
5959,5949,2015-05-28T13:40:37.904090,3
5955,4205,2015-05-28T13:09:02.003850,3
5958,4205,2015-05-28T12:57:45.937370,2
4205,5958,2015-05-28T12:47:02.722560,2
5949,5959,2015-05-28T08:00:41.888030,2
5955,5943,2015-05-28T02:11:35.885960,3
5949,5951,2015-05-28T00:47:49.448330,5
5958,5955,2015-05-27T22:14:25.368390,10
5955,5958,2015-05-27T21:42:20.113840,10
5955,5458,2015-05-27T09:48:30.996610,1
4205,5952,2015-05-27T09:24:12.871000,3
4205,2067,2015-05-27T09:13:02.379680,4
5957,5227,2015-05-27T00:06:58.534150,2
5227,5957,2015-05-27T00:05:30.116010,1
5955,1,2015-05-26T23:31:35.793000,1
5955,3,2015-05-26T23:28:45.468080,-3
5449,1810,2015-05-25T13:28:22.467800,2
5948,51,2015-05-25T10:04:05.923780,1
5955,5942,2015-05-25T08:11:59.932110,1
5955,5650,2015-05-25T08:06:50.534100,-10
5227,4205,2015-05-25T01:14:53.320420,1
4205,5227,2015-05-25T01:11:51.169000,1
4205,5955,2015-05-24T23:49:10.703960,3
4205,5650,2015-05-24T22:15:53.783170,-10
2067,4205,2015-05-24T12:52:57.176110,5
5449,2067,2015-05-23T17:48:38.915270,1
5950,5954,2015-05-23T16:30:58.301630,4
5950,4205,2015-05-23T16:26:02.771530,4
4649,104,2015-05-23T13:22:09.929640,2
3609,115,2015-05-22T18:02:33.360990,1
5227,5928,2015-05-22T07:17:31.379720,1
5928,5227,2015-05-22T07:17:01.516710,1
5954,5950,2015-05-21T19:29:30.263800,6
4997,4933,2015-05-21T18:17:21.543590,1
4205,5900,2015-05-20T23:50:33.430910,3
5951,5949,2015-05-20T23:32:41.285380,5
4205,5951,2015-05-20T23:31:09.346180,3
5951,5950,2015-05-20T23:22:30.747980,5
5951,4205,2015-05-20T23:21:33.351060,1
5950,5951,2015-05-20T23:21:28.422190,4
5525,2822,2015-05-20T21:05:40.491960,1
4205,3707,2015-05-19T23:40:20.938260,4
4205,5950,2015-05-19T23:15:18.845410,1
5947,1697,2015-05-19T17:04:45.657330,1
1697,5947,2015-05-19T17:03:36.028420,1
3527,4316,2015-05-19T13:07:32.016480,1
4649,5523,2015-05-17T15:45:27.494350,1
5227,51,2015-05-17T14:02:48.578170,5
51,5227,2015-05-17T14:01:52.170140,5
35,5928,2015-05-17T08:46:43.505180,1
5928,35,2015-05-17T08:43:17.655190,1
4205,1352,2015-05-17T00:29:18.660030,5
4649,3451,2015-05-16T17:55:43.114150,3
4649,5845,2015-05-16T17:54:44.626240,3
3451,4649,2015-05-16T17:52:12.922240,3
5948,35,2015-05-16T16:02:30.778520,1
35,5948,2015-05-16T16:01:56.879280,1
51,5948,2015-05-16T15:51:24.588920,1
5925,2067,2015-05-16T09:36:08.561640,3
3640,5571,2015-05-15T21:21:03.555170,1
2067,5925,2015-05-15T15:19:16.619070,2
1529,3451,2015-05-15T14:29:11.506860,1
4304,51,2015-05-15T13:34:50.639130,1
51,4304,2015-05-15T13:34:49.620770,1
5947,5811,2015-05-14T20:59:28.343780,2
5947,2045,2015-05-14T20:59:16.151410,2
2045,5947,2015-05-14T20:51:55.185520,2
5811,5947,2015-05-14T20:49:30.220830,1
3451,1529,2015-05-14T18:25:24.204310,1
2388,5946,2015-05-13T18:02:10.193030,-1
3916,5759,2015-05-13T14:07:23.706740,1
5759,3916,2015-05-13T14:06:28.745230,1
3820,5591,2015-05-13T13:12:03.145260,1
5591,3820,2015-05-13T13:03:20.703520,1
1810,5591,2015-05-13T13:02:11.262150,1
5945,5227,2015-05-13T09:54:27.622070,1
5227,5945,2015-05-13T09:54:21.714520,1
5945,2063,2015-05-13T09:54:04.707990,1
2063,5945,2015-05-13T09:53:33.766050,1
115,5944,2015-05-13T05:22:58.094360,-10
2388,2498,2015-05-11T18:39:44.854180,-9
4205,2004,2015-05-10T20:21:13.267330,1
2125,5015,2015-05-08T13:53:42.440940,-2
2125,5016,2015-05-08T13:16:56.201000,-2
1316,1018,2015-05-08T11:30:28.909350,3
5943,5942,2015-05-08T09:50:24.759780,1
2658,2498,2015-05-08T09:11:46.719910,-10
96,1565,2015-05-07T23:23:26.039700,1
5942,5943,2015-05-07T19:25:03.568310,1
5942,5935,2015-05-07T19:23:51.947120,1
5942,5900,2015-05-07T19:16:53.826270,1
5942,5458,2015-05-07T19:15:36.679750,1
5917,2942,2015-05-07T18:21:28.532060,1
5943,4205,2015-05-07T18:20:49.105830,7
5458,5900,2015-05-07T18:19:09.809700,1
5458,5943,2015-05-07T18:17:48.615980,2
4205,5943,2015-05-07T18:12:20.745890,7
5942,4205,2015-05-07T15:53:19.671020,1
4205,5942,2015-05-07T15:37:40.551670,1
5941,5227,2015-05-07T09:40:50.965000,1
5227,5941,2015-05-07T09:37:15.784520,1
5439,5899,2015-05-07T00:26:03.038030,1
5439,2388,2015-05-07T00:13:08.859690,1
2388,5439,2015-05-07T00:10:46.507750,1
5227,2942,2015-05-06T16:50:48.265940,1
2942,5227,2015-05-06T16:50:24.872580,1
2045,115,2015-05-06T06:59:51.378350,-4
1052,2045,2015-05-05T18:24:34.284060,1
1052,3129,2015-05-05T18:17:05.742990,3
1052,2142,2015-05-05T18:16:58.557990,1
1052,223,2015-05-05T18:15:34.607210,1
1052,51,2015-05-05T18:12:48.973510,1
1052,2388,2015-05-05T18:12:44.796910,1
1052,2296,2015-05-05T18:12:38.701480,1
1052,481,2015-05-05T18:12:31.739340,1
1052,5612,2015-05-05T18:12:25.900300,1
1052,539,2015-05-05T18:12:19.817570,1
1052,3919,2015-05-05T18:12:08.629150,1
1052,1512,2015-05-05T18:12:03.177240,1
1052,2565,2015-05-05T18:11:55.166860,1
1052,135,2015-05-05T18:11:37.819680,1
1052,7,2015-05-05T18:11:27.239460,1
1052,33,2015-05-05T18:11:25.244290,1
1052,595,2015-05-05T18:11:14.638230,1
1052,215,2015-05-05T18:11:05.030010,1
1052,5227,2015-05-05T18:10:50.726840,1
1052,2658,2015-05-05T18:10:42.970150,1
1052,5845,2015-05-05T18:10:30.866470,1
1052,3878,2015-05-05T18:10:08.154600,1
1052,1018,2015-05-05T18:09:57.053860,1
1052,4197,2015-05-05T18:09:40.855540,1
1052,5413,2015-05-05T18:09:34.111270,1
1052,57,2015-05-05T18:09:21.691030,1
1052,5591,2015-05-05T18:09:09.797310,1
1052,5439,2015-05-05T18:09:03.479750,1
1052,4291,2015-05-05T18:08:50.536090,1
1052,4559,2015-05-05T18:08:41.180090,1
