tower_name,coordinates,latitude,longitude
Burien,POINT (-122.349987 47.469038),47.46903610229492,-122.34998321533203
GreenLake,POINT (-122.321007 47.67982),47.6798210144043,-122.32100677490234
WhiteCenter,POINT (-122.355613 47.516725),47.5167236328125,-122.3556137084961
AlderwoodManor,POINT (-122.259462 47.802292),47.80229187011719,-122.25946044921875
MSFTWest,POINT (-122.13834 47.643588),47.64358901977539,-122.13834381103516
YoungsReservoir,POINT (-122.123237 47.418268),47.41826629638672,-122.12323760986328
SeattleUniversity,POINT (-122.317067 47.607786),47.607784271240234,-122.31707000732422
Kenmore,POINT (-122.244529 47.757189),47.7571907043457,-122.2445297241211
CentralDistrict,POINT (-122.30866 47.603203),47.60320281982422,-122.30866241455078
MercerIsland,POINT (-122.224875 47.577063),47.577064514160156,-122.2248764038086
Bothell,POINT (-122.208342 47.760106),47.76010513305664,-122.20834350585938
LakeCity,POINT (-122.294869 47.719024),47.719024658203125,-122.29486846923828
InternationalDistrict,POINT (-122.326372 47.597077),47.597076416015625,-122.32637023925781
WestLake,POINT (-122.336037 47.61172),47.61172103881836,-122.3360366821289
HarborIsland,POINT (-122.351596 47.579293),47.57929229736328,-122.35159301757812
Ballard,POINT (-122.38713 47.675419),47.675418853759766,-122.38713073730469
WarrenMagnusonPark,POINT (-122.255181 47.679769),47.67976760864258,-122.25518035888672
Youngstown,POINT (-122.361823 47.566178),47.56617736816406,-122.36182403564453
Northgate,POINT (-122.320914 47.712739),47.712738037109375,-122.32091522216797
CherryCrest,POINT (-122.168134 47.636799),47.63679885864258,-122.16813659667969
RainierValley,POINT (-122.29033 47.551994),47.55199432373047,-122.29032897949219
DennyBlaine,POINT (-122.286444 47.622132),47.62213134765625,-122.28644561767578
Seattle,POINT (-122.330291 47.603434),47.60343551635742,-122.33029174804688
WestSeattle,POINT (-122.386708 47.570923),47.5709228515625,-122.38671112060547
Evergreen,POINT (-122.336858 47.735397),47.73539733886719,-122.33686065673828
ClydeHill,POINT (-122.217748 47.63228),47.63227844238281,-122.2177505493164
RoseHill,POINT (-122.169237 47.676398),47.67639923095703,-122.16923522949219
Eastgate,POINT (-122.139926 47.575689),47.575687408447266,-122.13992309570312
Kirkland,POINT (-122.192579 47.686068),47.68606948852539,-122.19258117675781
Juanita,POINT (-122.208496 47.702949),47.70294952392578,-122.20849609375
Edmonds,POINT (-122.377773 47.810299),47.810298919677734,-122.37776947021484
Madrona,POINT (-122.291836 47.612809),47.61280822753906,-122.29183959960938
HuntsPoint,POINT (-122.230624 47.643855),47.643856048583984,-122.23062133789062
Leschi,POINT (-122.290634 47.600425),47.600425720214844,-122.29063415527344
QueenAnne,POINT (-122.360708 47.638506),47.63850784301758,-122.36071014404297
Kennydale,POINT (-122.191446 47.512918),47.512916564941406,-122.19144439697266
MarymoorPark,POINT (-122.112074 47.658506),47.658504486083984,-122.11207580566406
Issaquah,POINT (-122.043585 47.533503),47.533504486083984,-122.04358673095703
Belltown,POINT (-122.344477 47.614383),47.614383697509766,-122.34447479248047
Broadview,POINT (-122.360694 47.722118),47.72211837768555,-122.3606948852539
LakeForestPark,POINT (-122.282205 47.756205),47.75620651245117,-122.2822036743164
Woodway,POINT (-122.381856 47.789812),47.78981018066406,-122.3818588256836
Glencoe,POINT (-122.164837 47.512454),47.512454986572266,-122.16484069824219
DesMoines,POINT (-122.312741 47.39857),47.3985710144043,-122.312744140625
Woodinville,POINT (-122.158556 47.755028),47.755027770996094,-122.15855407714844
Greenwood,POINT (-122.355393 47.691177),47.69117736816406,-122.35539245605469
Georgetown,POINT (-122.32974 47.548457),47.548458099365234,-122.32974243164062
SEA,POINT (-122.308343 47.451648),47.4516487121582,-122.30834197998047
